en,cht,pos,description
Volfast’s Tower,沃爾法斯特之塔,地點,
Volmirren Partnership,沃爾米倫合作社,地點,切利亞斯
Volnagur,沃那古,怪物,洛瓦古格之裔
Volsazni Dezarr,沃薩茲尼·德扎爾,,
Voluse,沃魯斯,城市,河域諸國
Vonosh,沃諾什,地點,伊利森
Voradni Voon,沃拉德尼·烏恩,人物,最先圍攻艾巴薩羅姆的軍閥
Voratalo,沃拉塔洛,術語,瓦瑞西亞語中的死靈系
Vors Kyniar,沃斯·凱尼亞爾,人物,AP#108
vortex,旋渦,能力,怪物能力
Vosten,沃斯坦,人物,
Vothadiel’s Spine,沃薩迪爾之脊,物品,摩洛克的武器，標槍
Voyages into the Void,虛空旅記,,
Vudra,烏荼羅,國家,
Vudrani,烏荼羅人,種族,卡塔佩什，紮摩誄
Vudrani,烏荼羅語,語言,
Vulnerabilty,易傷,術語,通用怪物能力
Vulnerable to Wind,畏風,術語,怪物能力
Vyalldehun,渥德渾,人物,古老的林諾姆龍
Vyalldehun River,渥德渾河,地點,林諾姆諸王國
Vyraivaxus,威瑞阿瓦蘇斯,,
Vyre,維勒城,城市,切利亞斯
Vyre Island,維勒島,地點,切利亞斯
Wagon,貨車,載具,
Wail of the Banshee,女妖之嚎,法術,CRB
Waldgeist,樹靈,怪物,AP#105
Waldsby,沃茲比,地點,灰木省
Walkena,瓦爾克納,神祇,
Walker of Worlds,世界漫步者,稱號,辛納沙克提的稱號
Walking Man,行者之像,地點,奇奧尼
Wall of Fire,火牆術,法術,CRB
Wall of Force,力牆術,法術,CRB
Wall of Heaven,天境之牆,地點,天夏
wall of ice,冰牆術,法術,CRB
Wall of Iron,鐵牆術,法術,CRB
Wall of Stone,石牆術,法術,CRB
Wall of Thorns,棘牆術,法術,CRB
Wand,魔杖,術語,CRB
Wand Dancer,魔杖舞者,術語,專長
Wand of Orcus,奧喀斯魔杖,物品,奧喀斯的傳奇武器
Wandering Isles,漂流諸島,國家,天夏；民那塔的別稱
Wandering Spheres,游球峽谷,地點,奇奧尼
War,戰爭領域,術語,牧師領域
War College,戰爭學院,地點,終焉之牆(Crusader War College)
War Domain,戰爭領域,術語,牧師領域
War Glutton,戰爭饕餮,地點,索杜拉斯
War Mammoth,猛獁戰象,動物,
war mind,戰爭思維,職業能力,戰爭祭司祝福
War of the River Kings,河域諸王之戰,書名,冒險之路#35
War Razor,戰爭剃刀,物品,武器
War without Rivals,沒有對手的戰爭,事件,
war-name,戰名,稱號,水巨魔軍閥的名號
"Waraxe, dwarven",矮人戰斧,武器,
Ward against Death,防死靈光,領域能力,
Warda Kseniya,瓦爾達·克謝妮婭,人物,貝利拉
Wards,守護子域,術語,牧師領域
Wards Subdomain,守護子域,術語,牧師領域
wardstone,守護石,物品,限制世界之傷的符文石碑
Warhammer,戰鎚,武器,CRB
Warlock Island,巫師島,地點,切利亞斯
Warlock’s Walk,巫師廣場,地點,耐克斯
Warlord Graukrad,軍閥古拉克拉德,人物,獸人軍閥
Warm,暖溫帶,術語,氣候
Warm Doxy,溫香樓,地點,羅德
Warm Market,溫情市場,地點,寒心城
Warm Shield,烈焰護盾,法術,
Warp Wood,曲木術,法術,CRB
warpriest,戰爭祭司,職業,混合職業
Warren,雜院,地點,切利亞斯
Warrior,武者,NPC職業,CRB
Wars of Expansion,擴土之戰,事件,
Warship,戰艦,載具,
Warsworn,戰歿巨蟲,怪物,B4
Wartle,沃托,城市,瓦瑞西亞
wasteland mutants,廢土變種人,怪物,法力廢土
Watch captain,守備隊長,怪物,GMG
Watcher-Lord Ulthun II,守衛總帥烏爾蘇恩二世,城市,阿尼薩恩特碎盾的持有者
Water,水系,術語,生物亞種
Water,水領域,術語,牧師領域
Water,水域,術語,怪物棲息地類型
Water Breathing,水下呼吸,術語,通用怪物能力
Water Breathing,水下呼吸,法術,CRB
Water Dependency,依賴水源,術語,通用怪物能力
Water Domain,水領域,術語,牧師領域
Water Lord,水之主,稱號,拉格達恩的稱號
water mastery,水域熟悉,能力,怪物能力
water naga,水生娜迦,怪物,B3
Water Rat,水鼠,稱號,翰斯普的稱號
Water Walk,水面行走,法術,CRB
Water-Dominant,水元素主導,術語,位面特性專用詞彙
Waters of Lamashtu,拉瑪什圖之水,法術,
Wati,瓦蒂,城市,奧斯利昂
Waves of Exhaustion,力竭波,法術,CRB
Waves of Fatigue,疲乏波,法術,CRB
Wax Tower,蠟塔,地點,厄瑞波斯
Way of Transcendent Bliss,超凡極樂之道,宗教,伊利森的奇怪宗教
Wayang,剪影人,術語,生物亞種
Waybringer,帶路者,稱號,阿普蘇的稱號
Ways of Men,男人之道,事件,白武士的血腥儀式
Wayward River,不羈河,地點,猛獁象大王之國
Wealday,鞭之日,時間,星期三
weapon,武器,術語,
Weapon and Armor Proficiency,武器與防具擅長,職業能力,
Weapon Familiarity,武器熟悉,种族特性,
Weapon Finesse,武器嫻熟,術語,專長
Weapon Focus,武器專攻,術語,專長
Weapon Master,武器大師,職業能力,
Weapon Mastery,武器熟稔,職業能力,戰士
Weapon Proficiency,武器擅長,術語,職業能力
Weapon Quality,武器特性,術語,
Weapon Specialization,武器專精,專長,CRB
Weapon Training,武器訓練,職業能力,
weapons against evil,反邪惡武器,法術,ISG
Weather,天氣領域,術語,牧師領域
Weather Domain,天氣領域,術語,牧師領域
Web,織網,術語,通用怪物能力
Weeping Fields,泣淚之地,,
Weight,銀維特,名詞,艾巴薩羅姆對銀幣的稱呼
Weird,怪影殺手,法術,CRB
Well-Versed,通曉音律,職業能力,
Wenbrade Brakenbol,溫布拉德·布雷肯博爾,人物,地獄復仇AP#103
Wendigo,冰妖,怪物,B2
Weneschia Elvanna,溫內斯基雅·艾爾瓦娜,人物,陰冷邊區女公爵
Weoruf,韋魯夫,人物,AP#106
Werecrocodile,鱷魚人,怪物,獸化人
Werehyena,鬣狗人,怪物,獸化人
Wereleopard,豹人,怪物,獸化人
Wererat,鼠人,怪物,獸化人
Wereshark,鯊魚人,怪物,獸化人
Weretiger,虎人,怪物,獸化人
Werewolf,狼人,怪物,獸化人
Weslen Gavirk,維斯蘭·加維克,人物,森林元帥
West Bridge,西橋,地點,
West Iseld River,西依絲雷德河,地點,切利亞斯
West Sellen River,西賽倫河,地點,阿維斯坦
West Wharves,西碼頭,地點,
Westchannel,西渠,地點,西冠城
Westcrown,西冠城,城市,切利亞斯城市名
Westcrown Island,西冠島,地點,西冠城
Westerhold,西塞鎮,城市,艾巴薩羅姆外的小鎮
Western Ravage,西部荒野,地點,阿肯斯塔大公國
Westgate,西門,地點,艾巴薩羅姆的街區
Westpool,西塘鎮,城市,切利亞斯
Whimsy,滑稽子域,術語,牧師領域
Whimsy Subdomain,滑稽子域,術語,牧師領域
Whip,長鞭,武器,CRB
Whipcrack,鞭嘯區,地點,艾格利安
Whirlwind,旋風,術語,通用怪物能力
Whirlwind,旋風術,法術,CRB
Whirlwind Attack,旋風攻擊,專長,CRB
Whisper River,默語河,地點,長野鎮
Whisperer of Souls,灵魂低语者,物品,莎琳從宗-庫松處奪來的大砍刀
Whisperfall Pass,落語小徑,地點,貝爾克澤恩
Whisperhaunt,默語祟鬼,人物,AP#108
Whispering Tyrant,默語暴君,稱號,塔-巴馮
Whispering Way,默語魔道,理念,
Whispering Wind,風訊術,法術,CRB
Whispers Within,心語者,稱號,哈甘帖的稱號(帶The)
Whispertruth,無言真相,城市,拉茲密安
Whisperwood,默語森林,城市,切利亞斯
Whisperwood Way,默語森林大道,地點,切利亞斯
Whistledown,哨止鎮,城市,
White Canyon,白色峽谷,地點,卡塔佩什
White Dawn Hunters,白色黎明獵手,組織,
White Estrid,「白色」艾斯崔德,人物,哈格利姆的女性國王
White Feather Monks,白羽僧眾,組織,
White Raven,白鴉,地點,
White Stewards,白管事,組織,特雷齊拉的七家公司之一
White Warriors,白武士,組織,伊利森男權組織
White Witches,白女巫,稱號,芭芭·雅伽的女性後裔
white wraiths,白幽靈,怪物,世界之傷被惡魔提取的痛苦靈魂
white-sailed dhows,白色獨桅帆船,物品,
Whitegold River,白金河,地點,林諾姆諸王國
Whitemound,白丘鎮,,
Whiterook,白鴉鎮,城市,林諾姆諸王國
Whitetail,白尾區,地點,
Whitethrone,白王座,城市,伊利森首都
Wholeness of Body,混元體,職業能力,
Whore Queen,娼妓女王,稱號,地獄的強大魔鬼，約等於煉獄大公
Whyrlis Rock,維爾利斯岩,地點,鐐銬島
Widen Spell,廣域法術,專長,CRB
Widowmaker Isle,弒夫者島,地點,鐐銬島
Wielding,持用,術語,
wight,屍妖,怪物,B1
wild empathy,野性認同,術語,職業能力
Wild Hunt,狂獵,術語,生物亞種
Wild Magic,狂野魔法,術語,位面特性專用詞彙
Wild Shape,自然變身,職業能力,
Wilewood,詭計之林,地點,河域諸國
Wilkesmont,維克斯蒙特,城市,河域諸國
Will,意志,術語,怪物圖鑑常用縮寫意志
Will,意志豁免,,
Will half,意志過則減半,術語,
Will negates,意志過則無效,術語,法術說明
Will partial,意志過則部分生效,術語,法術說明
will-o’-wisp,鬼火,怪物,B1
Wind,風子域,術語,牧師領域
Wind Clan,微風部族,國家,休盎提大部落之一
wind instrument,管樂,術語,
Wind Stance,疾風步,專長,CRB
Wind Subdomain,風子域,術語,牧師領域
Wind Walk,御風而行,法術,CRB
Wind Wall,風牆術,法術,CRB
Winding,上弦,術語,發條生物啟動條件
Windsong Abbey,風歌修道院,地點,瓦瑞西亞
Windstorm,暴風,術語,風速
Windswept Wastes,風帆廢土,地點,卡斯瑪隆
Wing,翼擊,術語,通用怪物能力
Winghammer,翼錘區,地點,寒心城
Wingripper,碎翼氏族,組織,貝爾克澤恩
Wings of Heaven,天堂之翼,職業能力,
Winter Garden,冬日花園,,
Winter Grove,寒冬林,地點,切利亞斯
Winter War,冬季戰爭,事件,伊利森的建立
Winter Week,冬之周,時間,
Winter wolf,冬狼,怪物,B1
Winterbreak,冬歇城,城市,布雷斡
Winterbreak Bay,冬歇灣,地點,布雷斡
Wintercrux,冬十字省,地點,伊利森
Winterwall Glacier,冬牆冰川,地點,伊利森
Winteryew,女巫樹,植物,伊利森
Wis,感知,術語,規則中的縮寫
Wiscrani,西冠城的,形容詞,
Wiscrani,西冠人(貨),形容詞,用來形容西冠城來的人或物
Wisdom,感知,術語,屬性值
Wisdom modifier,感知調整值,術語,
Wise Quarter,賢者區,地點,艾巴薩羅姆
Wish,祈願術,法術,CRB
Wispil,維斯匹爾,城市,塔爾多
Wistea Glasswing,維斯提亞·琉翼,,
Witch,女巫,術語,基礎職業
witch-tree,女巫樹,稱號,伊利森冬紫衫的別稱
Witchbole,女巫樹,建筑,垂拉澤爾的宮殿
Witchcaves,女巫洞,地點,伊利森
Witchspire,女巫尖塔,地點,寒心城
Witchwar,女巫之戰,事件,伊利森
Witchwolf Pit,巫狼坑,地點,
withdraw,撤退,術語,戰鬥動作
Witherbark Forest,枯木森林,地點,摩爾蘇恩
Within Reach,絕處逢生,職業能力,
Wizard,法師,術語,核心職業
wizard-king,法王,稱號,
Wizard’s Shackle,法師的桎梏,怪物,B5
Wolf,狼,動物,CRB
Wolf’s Den,狼穴酒館,地點,
Wolf’s Ear,狼耳鎮,城市,瓦瑞西亞
Wolf’s Tooth,狼牙島,地點,切利亞斯
Wolfpoint,狼堡,城市,依斯嘉
Wolfrun Hills,奔狼山,城市,安多安
Wolo,沃洛,人物,地獄復仇AP#103
Wolverine,狼獾,動物,CRB
Wondrous Item,奇物,術語,CRB
Wood Shape,塑木術,法術,CRB
Wooden Fist,化拳為木,領域能力,
Woodland stride,穿林步,職業能力,
Woodsedge,林邊市,城市,伽爾特
Woodsedge Lodge,林邊市分部,地點,探索者協會在伽爾特的分部
Word of Chaos,混亂真言,法術,CRB
Word of Recall,回返真言,法術,CRB
Worg,座狼,怪物,B1
Work,勞動,術語,動物技巧
World Serpent,巨蛇之王,稱號,拉格達恩的稱號(帶The)
World’s Edge Mountains,世界之沿山脈,地點,塔爾多
Worldbreaker,世界破壞者,物品,攻城機器
Worldwound,世界之傷,地點,阿維斯坦
Wormsmaw,蟲喉,地點,午夜山脈
Wormwood,苦艾號,船名,AP 55-60
Wormwood Hall,苦艾之廳,地點,瓦瑞西亞
Wraith,縛靈,怪物,B1
Wrath,憤怒,稱號,魔印王的七宗罪之一
Wrath of Thrune,《特魯恩之怒》,書名,地獄復仇第二集AP#104
Wrights of Augustana,奧古斯塔娜工人節,時間,
Wrong One,不對勁,人物,AP#104
Wyldon,威爾登,,
Wyvern,雙足飛龍,怪物,B1
Wyvern Mountains,飛龍山脈,地點,瓦瑞西亞
Wyvern’s Roost,飛龍之棲,地點,圖維亞
Wyvernkill River,獵龍河,地點,河域諸國
Wyvernsting,飛龍毒釘,城市,貝爾克澤恩
X-Ray Vision,X光視域,術語,通用怪物能力
Xa Hoi,舍誨,國家,天夏
Xanderghul,贊多古爾,人物,驕傲魔印王
Xanthut,先杜特,人物,AP#106
Xaverian Wexallaer,沙維里安·韋克斯拉爾,人物,AP#107
Xefon-Ra,科賽馮-拉,地點,奧斯利昂
Xer,瑟爾,城市,拉茲密安
Xerbystes I,澤希斯特一世,人物,
Xerbystes II,澤希斯特二世,人物,卡蒂亞總督（Satrap of Qadira）
Xevgragoz,澤夫格拉戈茲,怪物,AP#106
Xhilqua the Unmatched,「無敵者」希爾誇,,
Xiaq,塞牙克,,
Ximena,希梅娜,人物,螳螂神的女祭司
Xin,辛,人物,阿茲蘭特法師，瑟西隆帝國的締造者
Xin-Bakrakhan,辛-巴克拉罕,城市,瓦瑞西亞；憤怒之城
Xin-Cyrusian,辛-塞魯西安,城市,驕傲之城
Xin-Edasseril,辛-艾達絲瑞爾,城市,嫉妒之城
Xin-Eurythnia,辛-尤瑞斯尼亞,城市,淫亂之城
Xin-Gastash,辛-伽斯塔什,城市,暴食之城
Xin-Grafar,辛-格拉法,地點,恐怖島
Xin-Haruka,辛-哈魯卡,城市,懶惰魔印王的都城；懶惰之城
Xin-Shalast,辛-沙拉斯特,城市,寇達山，貪婪魔印王卡祖格的都城；貪婪之城
Xiwu,熙武,地點,凌乘
Xorn,索爾石怪,怪物,
Xoskerik,索斯克里克族,,
Xoskerik,索斯克里克部落,,
Xovaikain,索瓦因,地點,
Xoveron,佐烏安,神祇,惡魔領主
"Yaalagaal, Eater of Hearts",「食心者」亞拉加爾,怪物,
Yaenit,耶納魔,怪物,B6
Yahlo,亞羅,人物,
Yalah the Pale,「蒼白的」雅拉,人物,
Yamasa,雅瑪薩,帝國,国
Yamasan,雅瑪薩人,亞種,人類民族
Yanimere Island,雅尼梅島,地點,卡蒂亞.
Yanmass,岩瑪斯,城市,塔爾多
Yargos Gill,雅格斯·吉爾,人名,軍事歷史學家
Yavendi,亞文迪,人物,地獄復仇AP#103
Yavipho,雅維弗,城市,卡塔佩什
Ydersius,耶德希斯,神祇,蛇人已逝神祇
year of factions’s favor,勢力利益之年,稱號,PFS第九季
year of stolen storm,失竊的風暴之年,稱號,PFS第八季
year of the demon,惡魔之年,稱號,PFS第五季
year of the risen rune,符文復甦之年,稱號,PFS第四季
year of the ruby phoenix,玉鳳之年,稱號,PFS第三季
year of the serpent,蝰蛇之年,稱號,PFS第七季
year of the shadow lodge,影子會之年,稱號,PFS第二季
year of the sky key,天空之鑰之年,稱號,PFS第六季
year of the ten,十人團之年,稱號,PFS第十季
Yefrem Chelnitsky,耶弗雷姆·切爾尼茨基,人物,
yellow-sailed slave,黃帆販奴船,組織,歐克諾
Yellowtongue,黃舌病,疾病,
Yemoses the Osirian,「奧斯利昂人」耶摩西斯,人物,
Yen-Shuan,嚴-栓,地點,卡拉代
Yensa,延薩,地點,陰冷邊區
Yereen,耶琳,人物,AP#106
Yeti,雪人,怪物,B1
Yhalt River,伊哈特河,地點,河域諸國
Yhidothrus,伊希多斯拉斯,神祇,惡魔領主
Yisaothai the Oil-Tongued,油舌者以索台,,
Yixing,儀興,人物,天夏女皇
Yled,伊萊德,城市,蓋布
Ylise of the Pale Sun,蒼陽的伊萊斯,,
Ymeri,伊麥瑞,神祇,元素領主獄火女王
Yngveld,英維爾德,人物,黑林鎮
Yog-Sothoth,尤格-索托斯,神祇,舊日支配者
Yolubilis River,尤盧比里斯河,地點,切利亞斯
Yondabakari River,約達巴卡利河,地點,瓦瑞西亞
Yrsa Betyrina,伊爾莎·貝提芮娜,人物,霍維爾甘
Ytterjorna,伊特約納,地點,
Yuliya Doproba,尤莉婭·多普羅巴,人物,
Yuri Patasil,尤里·帕塔西爾,人物,
Zaggar of Vulture Crag,禿鷹峭壁的紮加爾,人物,地獄復仇AP#103
Zahrah,扎赫拉,人物,
Zamere,莎梅爾,人物,拉瑪薩拉女王
Zana,扎娜,怪物,AP#107
Zandros the Fair,「公平的」贊德羅斯,人物,艾格利安
Zaplava,扎普拉瓦,地點,
Zara Orcelani,扎拉·奧爾塞拉尼,人物,AP#104
Zarta Dralneen,扎塔·德勞尼恩,人物,密文會領袖
Zaul Blystone,祖爾·布莱斯通,人物,
Zavah Baru,萨瓦·巴鲁,人物,AP#107
Zavid Menavich,扎維德·麥納維奇,人物,
Zaykira,紮克拉,人物,AP#107
Zedoran,澤鐸蘭,人物,北銳齒森林的綠龍
Zelen,澤倫,地點,邊境省
Zelhara,澤爾哈拉,人物,地獄復仇預設人物
Zelshabbar,澤爾沙巴爾,地點,珂萊士帝國
Zelvith,澤爾維斯,,
Zenj,津芝族,民族,芒吉部落
Zerszo on the Hill,「山上的」澤斯佐,人物,凍枯城
Zerszo’s Perch,澤斯佐之棲,地點,凍枯城
Zevgavizeb,澤烏伽瓦災布,神祇,惡魔領主
Zho Mountains,佐山,地點,卡蒂亞
Zhobl,佐巴爾,地點,火山
Zhonar,佐納爾,地點,火山
Zimar,茲伊瑪,城市,塔爾多
Zinlo,金羅,人物,阿斯本薩親王
Ziralia,基拉麗婭,人物,金羅親王的長女
Zirnakaynin,基爾諾剋寧,城市,幽暗之地，涅瑪薩斯下方，卓爾城市
Zlatomesto,茲拉托梅斯托,地點,
Zmey,茲美伊龍,怪物,
zoic fetishes,野獸巫偶,物品,
Zolurket Mines,佐爾奇特礦山,城市,卡塔佩什
zombie,喪屍,怪物,B1
Zon-Kuthon,宗-庫松,神祇,核心神祇
Zone of Silence,靜默之域,法術,CRB
zone of truth,誠實之域,法術,CRB
Zora Oblatov,佐拉·奧布拉托夫,人物,達馬托普
Zsatha,薩塔,人物,AP#106
Zura,祖拉,神祇,惡魔領主
Zura’s Mouth,祖拉之口,地點,位於芒吉莽原的一系列泉水和池塘
Zutha,祖薩,人物,暴食魔印王
Zyphus,澤弗斯,神祇,
Shrew,地鼠,動物,魔寵
Cure,痊愈,術語,苦難數據
Ghost,幽魂,怪物,B1
River Asp,角蝰河,地點,奧斯利昂
temporary negative level,臨時負向等級,術語,
permanent negative level,永久負向等級,術語,
Fire beetle,火甲蟲,怪物,B1
"Frog, poison",毒蛙,怪物,B1
"Horse, pony",矮種馬,怪物,B1
"Snake, viper",毒蛇,怪物,B1
"Ant, giant",巨蟻,怪物,B1
"Centipede, giant",巨蜈蚣,怪物,B1
"Frog, giant",巨蛙,怪物,B1
"Spider, giant",巨蜘蛛,怪物,B1
Goblin dog,地精犬,怪物,B1
"Devil, lemure",劣魔,怪物,B1
Herd animal,牧群動物,怪物,B1
"Snake, constrictor",蟒蛇,怪物,B1
"Demon, dretch",怯魔,怪物,B1
"Dinosaur, deinonychus",恐爪龍,怪物,B1
Dire ape,兇暴猿,怪物,B1
Dire boar,兇暴野豬,怪物,B1
Dire wolf,兇暴狼,怪物,B1
"Scorpion, giant",巨蠍,怪物,B1
Grizzly bear,灰熊,怪物,B1
"Dinosaur, pteranodon",翼龍,怪物,B1
"Dinosaur, ankylosaurus",甲龍,怪物,B1
"Demon, babau",巴布魔,怪物,B1
Dire lion,兇暴獅,怪物,B1
Giant moray eel,巨海鰻,怪物,B1
Giant centipede,巨蜈蚣,怪物,B1
Giant spider,巨蜘蛛,怪物,B1
Salamander,火蜥蜴,怪物,B1
Xill,錫爾族,怪物,B1
Dire tiger,兇暴虎,怪物,B1
"Dinosaur, elasmosaurus",薄片龍,怪物,B1
Giant octopus,巨章魚,怪物,B1
"Demon, Shadow",影魔,怪物,B1
"Demon, Succubus",魅魔,怪物,B1
"Dinosaur, triceratops",三角龍,怪物,B1
Bebelith,狩魔蛛,怪物,B1
"Dinosaur, brachiosaurus",腕龍,怪物,B1
Dire shark,兇暴鯊,怪物,B1
"Elemental, greater",元素菁英,怪物,B1
Giant squid,巨烏賊,怪物,B1
"Elephant, mastadon",乳齒象,怪物,B1
"Dinosaur, tyrannosaurus",暴龍,怪物,B1
"Elemental, elder",元素長老,怪物,B1
"Demon, Nalfeshnee",判魂魔,怪物,B1
Giant stag beetle,巨鍬甲蟲,怪物,B1
Griffon,獅鷲,怪物,B1
Cyclops,獨眼巨人,怪物,B1
Girallon,四臂猩猩,怪物,B1
Manticore,蠍尾獅,怪物,B1
Bulette,鯊蜥獸,怪物,B1
Stone giant,石巨人,怪物,B1
